UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Ben Barker Fitness,@benbarkerfit,2022-09-28T22:46:53.000Z,"Ben Barker Fitness
@benbarkerfit
·
Sep 28, 2022","My top 3 supplements:

1. Creatine
2. Fish Oil
3. Whey Protein

What are yours?
@SFH",,3,1,2,['https://pbs.twimg.com/card_img/1670662412935086080/pxatxr7o?format=jpg&name=900x900'],https://twitter.com/benbarkerfit/status/1575255756290637827
Alvinegro Sou,@AlvinegroSou__,2022-09-28T22:41:50.000Z,"Alvinegro Sou
@AlvinegroSou__
·
Sep 28, 2022","Do que adianta 10 dias treino, se quando vai pro jogo não faz absolutamente nada.

A desculpa que se tinha é que não havia tempo para treinamento, agora tem e tá desse jeito aí.",🏁,,,13,[],https://twitter.com/AlvinegroSou__/status/1575254485596864516
maria,@zlatwn,2022-09-28T22:20:45.000Z,"maria
@zlatwn
·
Sep 28, 2022",pedro rocha aqui não fazia gol nem em treino e agora simplesmente saiu andando o campo inteiro até chegar no pequena área do flamengo e fazer o gol SOZINHO,,,21,35,[],https://twitter.com/zlatwn/status/1575249180058128413
Any Gabrielly Source | Fan Account,@AnyGSource_,2022-09-28T22:39:10.000Z,"Any Gabrielly Source | Fan Account
@AnyGSource_
·
Sep 28, 2022","Veronica, personal trainer da Any Gabrielly, postou alguns registros durante o treino delas. Confiram completo no link abaixo! 

: https://instagram.com/reel/CjETenFg7Sn/?igshid=YmMyMTA2M2Y=…",🔗,,20,198,['https://pbs.twimg.com/ext_tw_video_thumb/1575253767058034697/pu/img/89igjEckhp92z0ji.jpg'],https://twitter.com/AnyGSource_/status/1575253814961180681
🅻🅴🅻🅽🅳ᶜʳᶠ OITO BRs 3 LAs,@ricardoleblond,2022-09-28T22:50:44.000Z,"🅻🅴🅻🅽🅳ᶜʳᶠ OITO BRs 3 LAs
@ricardoleblond
·
Sep 28, 2022","PQP Gabigol vai aterrorizar nessas finais

A hora é essa!

Descanso, bastante treino e muita seriedade, cachaça, só depois das taças

Vamoooooo 
@Flamengo
SRN",🅱 🅾,1,6,36,[],https://twitter.com/ricardoleblond/status/1575256723455188993
ABC News,@abcnews,2022-09-28T22:42:01.000Z,"ABC News
@abcnews
·
Sep 28, 2022",Alcohol from cow's milk —  a 'whey' to help the dairy industry?,,9,10,10,['https://pbs.twimg.com/card_img/1668659686038462465/9oRXWRlG?format=jpg&name=small'],https://twitter.com/abcnews/status/1575254529859166208
NETVASCO,@Netvasco,2022-09-28T22:32:06.000Z,"NETVASCO
@Netvasco
·
Sep 28, 2022",Vasco publica fotos do treino desta 4ª-feira no CT Moacyr Barbosa; veja,✅ 💢 👊 📸,11,1,13,[],https://twitter.com/Netvasco/status/1575252033761746944
Filipe Duarte,@filipeduarte88,2022-09-28T22:04:35.000Z,"Filipe Duarte
@filipeduarte88
·
Sep 28, 2022","Apesar de ter sido relacionado, Thaciano não tem condições de atuar 90 minutos e, por isso, deve ser guardado pro 2°T. Grêmio realiza um último treino em São Luís amanhã à tarde",,,2,5,"['https://pbs.twimg.com/profile_images/1668985526626525197/63sAC4pz_mini.jpg', 'https://pbs.twimg.com/media/FdxB4dCXwBYEN42?format=jpg&name=small']",https://twitter.com/filipeduarte88/status/1575245108500639744
Bruno Ferreira,@brunoferreiraeu,2022-09-28T23:34:57.000Z,"Bruno Ferreira
@brunoferreiraeu
·
Sep 28, 2022",Descobri um novo pré treino hoje: lágrimas,,2,,15,[],https://twitter.com/brunoferreiraeu/status/1575267851719540736
Lakers Win,@Lakers__Win,2022-09-28T22:12:42.000Z,"Lakers Win
@Lakers__Win
·
Sep 28, 2022","Após o treino de hoje, AD falou com a imprensa e revelou que sofreu uma lesão no seu punho na última temporada. 

E isso acabou fazendo com que o seu arremesso ficasse de um jeito que ele não queria, mas que agora já está se sentindo mais saudável. 
@kylegoon",🗞,,2,45,['https://pbs.twimg.com/media/Fdxm7pSXEA0Uysn?format=jpg&name=small'],https://twitter.com/Lakers__Win/status/1575247151923400735
VoluntariosxAnimales,@asoc_vpla,2022-09-28T23:12:49.000Z,"VoluntariosxAnimales
@asoc_vpla
·
Sep 28, 2022","Ayúdanos! (8,50Bs) es lo que pedimos para completar la proteína del mes de la viejita. A ella le hicimos un drenaje pericárdico hace 15 días para salvarla  $1 por #PagoMovil, #Zelle o #Paypal Datos sólo por Directo",❤,1,59,22,['https://pbs.twimg.com/ext_tw_video_thumb/1574945833782501379/pu/img/LYb1v6c_uVs6Kqim.jpg'],https://twitter.com/asoc_vpla/status/1575262282661216256
MinAlimenVen,@MinAlimenVen,2022-09-28T22:46:38.000Z,"MinAlimenVen
@MinAlimenVen
·
Sep 28, 2022","#Bolívar | El 
@MinAlimenVen
 distribuyó proteína animal y rubros de la cesta básica a diversos Programas Sociales y #CLAP en los municipios Cedeño, Caroní, Angostura del Orinoco y Sifontes, garantizando de esta manera la alimentación de nuestro pueblo 
#28Sep",,1,32,18,"['https://pbs.twimg.com/media/Fdxurm1WAAMJDt1?format=jpg&name=small', 'https://pbs.twimg.com/media/Fdxus_mWIAMsY6j?format=jpg&name=small']",https://twitter.com/MinAlimenVen/status/1575255691555741698
